PlayerID;Position
130;Defensive Midfield
130;Sweeper
274;Central Midfield
274;Left Midfield
310;Left Midfield
520;Centre-Forward
520;Left Midfield
2099;Defensive Midfield
3300;Central Midfield
3524;Second Striker
3699;Right Winger
3699;Second Striker
3823;Centre-Back
3823;Defensive Midfield
7489;Central Midfield
7489;Centre-Back
8542;Left Winger
10682;Centre-Forward
14183;Attacking Midfield
14183;Defensive Midfield
14833;Right-Back
18288;Centre-Back
22087;Right Winger
22147;Centre-Back
22455;Left Winger
22455;Second Striker
25274;Defensive Midfield
25274;Right-Back
40122;Left Midfield
77010;Attacking Midfield
77010;Sweeper
77517;Defensive Midfield
84063;Left-Back
84063;Sweeper
84649;Attacking Midfield
84649;Sweeper
88150;Central Midfield
89230;Second Striker
92267;Attacking Midfield
92267;Second Striker
92305;Right Midfield
95458;Central Midfield
95458;Right Winger
96641;Centre-Forward
96641;Left Midfield
97069;Left Winger
97124;Centre-Forward
97250;Sweeper
97305;Defensive Midfield
99708;Centre-Back
99708;Left-Back
99711;Centre-Forward
101037;Centre-Back
101037;Right-Back
101325;Centre-Back
102501;Central Midfield
102583;Central Midfield
102583;Second Striker
102755;Defensive Midfield
117404;Attacking Midfield
117404;Defensive Midfield
117490;Left-Back
118164;Centre-Back
118164;Sweeper
120540;Second Striker
128882;Right Midfield
128987;Centre-Back
128995;Centre-Back
131294;Central Midfield
131294;Defensive Midfield
132774;Attacking Midfield
132774;Right Midfield
132792;Defensive Midfield
132792;Sweeper
132969;Sweeper
133753;Centre-Forward
134594;Attacking Midfield
134594;Left Winger
135788;Sweeper
135793;Attacking Midfield
135793;Right Midfield
145370;Left-Back
145370;Right-Back
150920;Central Midfield
152816;Central Midfield
152816;Right Midfield
165411;Right Midfield
165411;Right Winger
166555;Defensive Midfield
166555;Sweeper
169281;Attacking Midfield
169384;Centre-Back
170710;Centre-Back
172440;Centre-Back
172440;Sweeper
173071;Central Midfield
173678;Left-Back
174458;Left Midfield
174458;Left-Back
176295;Left Winger
176327;Centre-Back
176745;Defensive Midfield
176755;Defensive Midfield
176930;Centre-Back
178777;Defensive Midfield
178777;Right Midfield
179292;Sweeper
180571;Right Winger
180571;Second Striker
181971;Left Midfield
184854;Left Midfield
186470;Left Winger
201881;Sweeper
210490;Defensive Midfield
214375;Left-Back
215106;Centre-Back
217783;Centre-Forward
217783;Right Winger
222641;Left-Back
222810;Defensive Midfield
222878;Right Winger
222994;Central Midfield
223088;Centre-Back
223088;Left-Back
223256;Second Striker
226890;Defensive Midfield
227544;Attacking Midfield
227544;Defensive Midfield
227862;Left Winger
229552;Central Midfield
237723;Attacking Midfield
237723;Left Winger
243495;Centre-Back
243512;Centre-Back
243964;Right-Back
245248;Defensive Midfield
245309;Centre-Back
245309;Left-Back
245359;Defensive Midfield
251095;Left Midfield
255327;Defensive Midfield
289694;Centre-Forward
289694;Second Striker
295180;Central Midfield
296954;Left Midfield
296954;Right Winger
298900;Central Midfield
298943;Right Winger
298943;Second Striker
299337;Centre-Back
306917;Attacking Midfield
310473;Right Winger
310473;Second Striker
323632;Defensive Midfield
327383;Centre-Back
330296;Right-Back
330296;Second Striker
348183;Defensive Midfield
348183;Right Midfield
405303;Left Winger
409812;Right-Back
410921;Centre-Back
479848;Central Midfield
479848;Defensive Midfield
492881;Central Midfield
492881;Centre-Back
519640;Centre-Forward
552856;Second Striker
566806;Right Midfield
572884;Right Midfield
626135;Left Winger
628507;Defensive Midfield
721525;Right-Back
