CompetitionID;year;ClubID
L1;1990;2
L1;1997;2
L1;1963;3
L1;1977;3
L1;1967;4
CL;1993;5
CL;2002;5
CL;2006;5
GB1;1997;11
GB1;2001;11
GB1;2003;11
CL;1996;16
L1;1994;16
L1;1995;16
L1;2001;16
L1;1969;18
L1;1970;18
L1;1974;18
L1;1975;18
L1;1976;18
L1;1966;23
CL;2000;27
L1;1968;27
L1;1971;27
L1;1972;27
L1;1973;27
L1;1979;27
L1;1980;27
L1;1984;27
L1;1985;27
L1;1986;27
L1;1988;27
L1;1989;27
L1;1993;27
L1;1996;27
L1;1998;27
L1;1999;27
L1;2000;27
L1;2002;27
L1;2004;27
L1;2005;27
CL;2004;31
L1;1978;41
L1;1981;41
L1;1982;41
L1;1965;72
L1;1983;79
L1;1991;79
L1;2006;79
L1;1964;86
L1;1987;86
L1;1992;86
L1;2003;86
CL;2005;131
GB1;1994;164
CL;1992;244
CL;1997;418
CL;1999;418
CL;2001;418
CL;1995;506
CL;1994;610
GB1;2004;631
GB1;2005;631
CL;2003;720
CL;1998;985
GB1;1992;985
GB1;1993;985
GB1;1995;985
GB1;1996;985
GB1;1998;985
GB1;1999;985
GB1;2000;985
GB1;2002;985
GB1;2006;985
